,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,1198,1254,720,1,1136,858,1147,318,260,922,1258,919,950,28,1199,2762,1927,1283
1,260,1303,1,919,905,50,246,1193,2797,3435,1278,899,904,912,2010,3634,2670,1266
2,858,1931,1148,3114,951,1221,2859,1207,1097,913,1219,914,913,1197,1206,2819,527,3508
3,1196,260,3114,2355,2788,1617,1189,1225,2100,1252,1214,2300,1252,969,260,965,750,599
4,457,1198,745,1097,2918,608,556,1203,2174,1267,2716,1288,903,1247,1196,1249,1196,3365
5,2028,1196,2355,2080,1537,1234,162,923,1019,1284,1387,1220,1617,2396,750,50,2028,1209
6,1197,1197,1223,3751,1449,296,1361,3468,1073,930,3499,2080,1212,1210,1240,593,912,1304
7,1304,1259,2761,2761,1235,1213,2677,1704,2872,1617,1333,364,1284,2692,541,908,1242,3037
8,1291,969,3751,2078,3911,2194,3007,3089,2087,2186,1994,2078,1269,1307,2571,1617,969,1201
9,1240,1291,2080,3396,3462,2692,1797,954,2968,541,3081,1947,3730,356,1214,904,1233,2951
